timestamp,distance_m,linear_x,angular_z,anomaly
1773869611.395,2.1729,0.300,0.000,OK
1773869611.895,2.1447,0.300,0.000,OK
1773869612.396,2.0889,0.300,0.000,OK
1773869612.895,1.8304,0.300,0.000,OK
1773869613.395,1.6907,0.300,0.000,OK
1773869613.895,1.4719,0.300,0.000,OK
1773869614.395,1.3081,0.300,0.000,OK
1773869614.895,1.2562,0.300,0.000,OK
1773869615.395,0.9797,0.300,0.000,OK
1773869615.895,0.9789,0.300,0.000,OK
1773869616.395,0.7872,0.300,0.000,OK
1773869616.895,0.8024,0.300,0.000,OK
1773869617.395,0.6808,0.300,0.000,OK
1773869617.895,0.7725,0.300,0.000,OK
1773869618.395,0.7659,0.300,0.000,OK
1773869618.895,0.7570,0.300,0.000,OK
1773869619.395,0.8560,0.300,0.000,OK
1773869619.895,0.9489,0.300,0.000,OK
1773869620.395,1.0155,0.300,0.000,OK
1773869620.895,1.1796,0.300,0.000,OK
1773869621.396,1.4923,0.300,0.000,OK
1773869621.895,1.4875,0.300,0.000,OK
1773869622.395,1.6512,0.300,0.000,OK
